"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

13.050,0.740,-1.588370,-54.078297,2.728299,2.916793,-2.251239,4.000000,130.515549,13.276154,6974.000000,7.400000,3.170000,49.500000,856.000000,824.000000,0.508000,0.010500,0.009000,0.009000,0.009000,0.009000,0.043000,2.037500,0.042000,160.000000,161.500000,157.500000,149.000000,13.115000,82.849998,186.979996,68.000000,68.000000,31.130699,10.000000,0.454411,0.108982,0.395547,-168.059570,19.068859,292.000000,1.690000,363.751068,19.332165,1.393198,57.906258,30.312588,0.000000,3.587649,160.750000,0.022926,42.066813635852,-84.237737435186,292.22
13.060,0.741,-0.978022,-54.078297,2.653364,3.031790,-1.984674,4.000000,130.515549,13.276098,6992.000000,7.300000,3.168000,49.660000,856.000000,822.599976,0.508000,0.010200,0.009000,0.009000,0.009000,0.009000,0.043000,2.040600,0.042000,160.399994,161.800003,157.600006,149.199997,13.115999,82.868004,186.979996,68.000000,68.000000,31.167980,10.000000,0.437076,0.107580,0.392109,-168.029770,18.312553,292.000000,1.690000,364.107117,19.355316,1.393198,58.022507,30.342258,0.000000,4.251507,161.100006,0.022942,42.066812493142,-84.237738118777,292.22
13.070,0.741,-4.029761,-47.364468,2.550496,3.018413,-1.929630,4.000000,130.515549,13.276044,7010.000000,7.200000,3.166000,49.820000,856.000000,821.200012,0.508000,0.009900,0.009000,0.009000,0.009000,0.009000,0.043000,2.043700,0.042000,160.800003,162.100006,157.699997,149.399994,13.117000,82.886002,186.979996,68.000000,68.000000,31.205263,10.000000,0.419741,0.106178,0.388671,-167.999969,17.556250,292.000000,1.690000,364.463135,19.378468,1.393198,58.138760,30.371929,0.000000,4.915366,161.449997,0.022957,42.066811354489,-84.237738825544,292.22
13.080,0.742,-10.133242,-49.805862,2.551383,2.890481,-2.187851,4.000000,130.515549,13.275989,7028.000000,7.100000,3.164000,49.980000,856.000000,819.799988,0.508000,0.009600,0.009000,0.009000,0.009000,0.009000,0.043000,2.046800,0.042000,161.199997,162.399994,157.800003,149.600006,13.117999,82.903999,186.979996,68.000000,68.000000,31.242546,10.000000,0.402406,0.104776,0.385233,-167.970184,16.799946,292.000000,1.690000,364.819183,19.401621,1.393198,58.255009,30.401598,0.000000,5.579225,161.800003,0.022973,42.066810221920,-84.237739567077,292.22
13.090,0.742,-1.588370,-43.702381,2.668032,2.749959,-2.380497,4.000000,130.515549,13.275934,7046.000000,7.000000,3.162000,50.139999,856.000000,818.400024,0.508000,0.009300,0.009000,0.009000,0.009000,0.009000,0.043000,2.049900,0.042000,161.600006,162.699997,157.899994,149.800003,13.118999,82.922005,186.979996,68.000000,68.000000,31.279827,10.000000,0.385070,0.103374,0.381796,-167.940399,16.043640,292.000000,1.690000,365.175201,19.424774,1.393198,58.371262,30.431267,0.000000,6.243083,162.149994,0.022988,42.066809089351,-84.237740308610,292.22
13.100,0.743,3.904762,-42.481686,2.694238,2.666562,-2.293753,4.000000,130.515549,13.275879,7064.000000,6.900000,3.160000,50.299999,856.000000,817.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.053000,0.042000,162.000000,163.000000,158.000000,150.000000,13.120000,82.940002,186.979996,68.000000,68.000000,31.317110,10.000000,0.367735,0.101972,0.378358,-167.910599,15.287336,292.000000,1.690000,365.531250,19.447926,1.393198,58.487511,30.460938,0.000000,6.906942,162.500000,0.023004,42.066807956783,-84.237741050143,292.23
13.110,0.743,-4.640110,-52.857601,2.588865,2.676463,-2.100155,4.000000,130.515549,13.275824,7049.399902,6.880000,3.156000,50.180000,856.000000,817.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.054700,0.042000,162.100006,163.000000,158.100006,150.800003,13.120999,82.958000,186.979996,68.000000,68.000000,31.329538,10.000000,0.347086,0.098148,0.376066,-167.884247,14.421024,292.000000,1.691000,366.599365,19.455643,1.393198,58.551262,30.549946,0.000000,6.944172,162.550003,0.023002,42.066806824214,-84.237741791677,292.23
13.120,0.744,-4.029761,-45.533424,2.641245,2.767549,-1.967220,4.000000,130.515549,13.275769,7034.799805,6.860000,3.152000,50.060001,856.000000,817.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.056400,0.042000,162.199997,163.000000,158.199997,151.600006,13.122000,82.975998,186.979996,68.000000,68.000000,31.341965,10.000000,0.326437,0.094324,0.373774,-167.857880,13.554712,292.000000,1.692000,367.667480,19.463360,1.393198,58.615009,30.638956,0.000000,6.981401,162.600006,0.022999,42.066805691645,-84.237742533210,292.23
13.130,0.744,-1.588370,-41.260990,2.872941,2.825920,-1.971007,4.000000,130.515549,13.275714,7020.200195,6.840000,3.148000,49.939999,856.000000,817.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.058100,0.042000,162.300003,163.000000,158.300003,152.399994,13.122999,82.994003,186.979996,68.000000,68.000000,31.354393,10.000000,0.305788,0.090500,0.371482,-167.831528,12.688400,292.000000,1.693000,368.735596,19.471079,1.393198,58.678761,30.727966,0.000000,7.018631,162.649994,0.022997,42.066804559076,-84.237743274743,292.23
13.140,0.745,-5.860806,-48.585163,2.919795,2.770969,-1.981273,4.000000,130.515549,13.275660,7005.600098,6.820000,3.144000,49.820000,856.000000,817.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.059800,0.042000,162.399994,163.000000,158.399994,153.199997,13.124000,83.012001,186.979996,68.000000,68.000000,31.366819,10.000000,0.285138,0.086676,0.369191,-167.805176,11.822087,292.000000,1.694000,369.803711,19.478796,1.393198,58.742508,30.816975,0.000000,7.055861,162.699997,0.022995,42.066803426507,-84.237744016276,292.23
13.150,0.745,-2.198718,-40.040291,2.704178,2.668870,-1.820050,4.000000,130.515549,13.275604,6991.000000,6.800000,3.140000,49.700001,856.000000,818.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.061500,0.042000,162.500000,163.000000,158.500000,154.000000,13.125000,83.029999,186.979996,68.000000,68.000000,31.379248,10.000000,0.264489,0.082852,0.366899,-167.778809,10.955775,292.000000,1.695000,370.871826,19.486513,1.393198,58.806259,30.905983,0.000000,7.093090,162.750000,0.022992,42.066802293939,-84.237744757809,292.23
13.160,0.746,1.463370,-37.598900,2.497618,2.595331,-1.669010,4.000000,130.515549,13.275549,7011.399902,6.800000,3.142000,49.920002,856.000000,816.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.063200,0.042000,162.600006,163.000000,158.600006,154.800003,13.125999,83.048004,186.979996,68.000000,68.000000,31.391676,10.000000,0.243840,0.079028,0.364607,-167.752457,10.089463,292.000000,1.696000,371.939911,19.494230,1.393198,58.870010,30.994993,0.000000,7.130320,162.800003,0.022990,42.066801161370,-84.237745499343,292.23
13.170,0.746,-5.860806,-46.143772,2.464015,2.536566,-1.747185,4.000000,130.515549,13.275495,7031.799805,6.800000,3.144000,50.139999,856.000000,814.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.064900,0.042000,162.699997,163.000000,158.699997,155.600006,13.127000,83.066002,186.979996,68.000000,68.000000,31.404102,10.000000,0.223191,0.075204,0.362315,-167.726105,9.223151,292.000000,1.697000,373.008026,19.501947,1.393198,58.933758,31.084003,0.000000,7.167550,162.850006,0.022987,42.066800028801,-84.237746240876,292.23
13.180,0.746,-7.081501,-46.143772,2.576954,2.480822,-1.945562,4.000000,130.515549,13.275439,7052.200195,6.800000,3.146000,50.360001,856.000000,813.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.066600,0.042000,162.800003,163.000000,158.800003,156.399994,13.127999,83.084000,186.979996,68.000000,68.000000,31.416531,10.000000,0.202541,0.071380,0.360023,-167.699753,8.356839,292.000000,1.698000,374.076141,19.509666,1.393198,58.997509,31.173012,0.000000,7.204779,162.899994,0.022985,42.066798896232,-84.237746982409,292.23
13.190,0.747,-5.860806,-47.364468,2.674973,2.470767,-2.059995,4.000000,130.515549,13.275385,7072.600098,6.800000,3.148000,50.579998,856.000000,811.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.068300,0.042000,162.899994,163.000000,158.899994,157.199997,13.129000,83.101997,186.979996,68.000000,68.000000,31.428957,10.000000,0.181892,0.067556,0.357731,-167.673386,7.490527,292.000000,1.699000,375.144257,19.517384,1.393198,59.061256,31.262020,0.000000,7.242009,162.949997,0.022983,42.066797763663,-84.237747723942,292.24
13.200,0.747,-5.250458,-48.585163,2.614360,2.497749,-2.032266,4.000000,130.515549,13.275330,7093.000000,6.800000,3.150000,50.799999,856.000000,810.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.070000,0.042000,163.000000,163.000000,159.000000,158.000000,13.129999,83.120003,186.979996,68.000000,68.000000,31.441385,10.000000,0.161243,0.063732,0.355440,-167.647034,6.624215,292.000000,1.700000,376.212372,19.525101,1.393198,59.125008,31.351030,0.000000,7.279238,163.000000,0.022980,42.066796633833,-84.237748485159,292.24
13.210,0.748,0.242674,-43.702381,2.519696,2.448161,-2.052212,4.100000,130.515549,13.275274,7079.600098,5.800000,3.114000,48.720001,856.000000,806.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.068300,0.042000,162.899994,162.899994,158.899994,158.500000,13.131000,83.138000,186.979996,68.000000,68.000000,31.422745,10.000000,0.138745,0.058889,0.354294,-167.620682,5.707482,292.000000,1.700000,376.687073,19.513525,1.393198,59.061256,31.390591,0.000000,6.789229,162.899994,0.023071,42.066795504306,-84.237749248562,292.24
13.220,0.748,-3.419414,-44.923077,2.575027,2.294334,-2.256694,4.200000,130.515549,13.275220,7066.200195,4.800000,3.078000,46.639999,856.000000,802.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.066600,0.042000,162.800003,162.800003,158.800003,159.000000,13.132000,83.155998,186.979996,68.000000,68.000000,31.404102,10.000000,0.116248,0.054045,0.353148,-167.594315,4.790750,292.000000,1.700000,377.161804,19.501947,1.393198,58.997509,31.430151,0.000000,6.299220,162.800003,0.023162,42.066794374780,-84.237750011965,292.24
13.230,0.749,-5.860806,-42.481686,2.694924,2.190297,-2.419534,4.300000,130.515549,13.275165,7052.799805,3.800000,3.042000,44.560001,856.000000,799.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.064900,0.042000,162.699997,162.699997,158.699997,159.500000,13.132999,83.174004,186.979996,68.000000,68.000000,31.385460,10.000000,0.093750,0.049201,0.352002,-167.567963,3.874017,292.000000,1.700000,377.636536,19.490372,1.393198,58.933758,31.469709,0.000000,5.809211,162.699997,0.023253,42.066793245253,-84.237750775369,292.24
13.240,0.749,-0.978022,-37.598900,2.705659,2.196416,-2.396967,4.400000,130.515549,13.275110,7039.399902,2.800000,3.006000,42.480000,856.000000,795.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.063200,0.042000,162.600006,162.600006,158.600006,160.000000,13.134000,83.192001,186.979996,68.000000,68.000000,31.366819,10.000000,0.071253,0.044358,0.350856,-167.541611,2.957285,292.000000,1.700000,378.111237,19.478794,1.393198,58.870010,31.509270,0.000000,5.319202,162.600006,0.023344,42.066792115727,-84.237751538772,292.24
13.250,0.750,-3.419414,-44.923077,2.604939,2.172928,-2.272910,4.500000,130.515549,13.275055,7026.000000,1.800000,2.970000,40.400002,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.061500,0.042000,162.500000,162.500000,158.500000,160.500000,13.134999,83.209999,186.979996,68.000000,68.000000,31.348179,10.000000,0.048755,0.039514,0.349710,-167.515259,2.040553,292.000000,1.700000,378.585938,19.467218,1.393198,58.806259,31.548830,0.000000,4.829193,162.500000,0.023435,42.066790986200,-84.237752302176,292.24
13.260,0.750,-5.860806,-49.195511,2.529323,2.072340,-2.033669,4.600000,130.515549,13.275000,6977.000000,1.440000,2.946000,35.840000,856.000000,789.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.059800,0.042000,162.399994,162.399994,158.399994,161.000000,13.136000,83.227997,186.979996,68.000000,68.000000,31.329536,10.000000,0.026258,0.034671,0.348564,-167.488892,1.123820,292.000000,1.700000,379.060669,19.455643,1.393198,58.742508,31.588390,0.000000,4.339184,162.399994,0.023526,42.066789856674,-84.237753065579,292.24
13.270,0.751,-0.367674,-47.974815,2.623025,1.986210,-1.850530,4.700000,130.515549,13.274945,6928.000000,1.080000,2.922000,31.280001,856.000000,786.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.058100,0.042000,162.300003,162.300003,158.300003,161.500000,13.136999,83.246002,186.979996,68.000000,68.000000,31.310894,10.000000,0.003760,0.029827,0.347418,-167.462540,0.207088,292.000000,1.700000,379.535400,19.444065,1.393198,58.678761,31.627951,0.000000,3.849175,162.300003,0.023617,42.066788727147,-84.237753828983,292.24
13.280,0.751,2.684066,-47.364468,2.849140,1.922960,-2.008387,4.800000,130.515549,13.274890,6879.000000,0.720000,2.898000,26.720001,856.000000,783.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.056400,0.042000,162.199997,162.199997,158.199997,162.000000,13.138000,83.264000,186.979996,68.000000,68.000000,31.292253,10.000000,-0.018737,0.024983,0.346272,-167.436188,-0.709645,292.000000,1.700000,380.010101,19.432489,1.393198,58.615009,31.667509,0.000000,3.359166,162.199997,0.023708,42.066787597620,-84.237754592386,292.24
13.290,0.752,-4.640110,-51.636906,2.930505,1.872246,-2.268031,4.900000,130.515549,13.274836,6830.000000,0.360000,2.874000,22.160000,856.000000,780.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.054700,0.042000,162.100006,162.100006,158.100006,162.500000,13.139000,83.281998,186.979996,68.000000,68.000000,31.273613,10.000000,-0.041235,0.020140,0.345126,-167.409821,-1.626377,292.000000,1.700000,380.484802,19.420912,1.393198,58.551262,31.707069,0.000000,2.869158,162.100006,0.023799,42.066786468094,-84.237755355790,292.24
13.300,0.752,-9.522894,-54.078297,2.710788,1.911415,-2.193448,5.000000,130.515549,13.274780,6781.000000,0.000000,2.850000,17.600000,856.000000,778.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.053000,0.042000,162.000000,162.000000,158.000000,163.000000,13.139999,83.300003,186.979996,68.000000,68.000000,31.254971,10.000000,-0.063732,0.015296,0.343980,-167.383469,-2.543110,292.000000,1.700000,380.959534,19.409336,1.393198,58.487511,31.746630,0.000000,2.379148,162.000000,0.023890,42.066785338567,-84.237756119193,292.24
13.310,0.752,-10.133242,-52.247253,2.464004,2.012015,-1.802624,5.100000,130.515549,13.274725,6678.200195,0.100000,2.852000,17.980000,856.000000,781.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.027800,0.042000,161.699997,161.500000,158.300003,163.000000,13.141000,83.318001,186.979996,68.000000,68.000000,31.248756,10.000000,-0.085210,0.011344,0.343407,-167.355972,-3.432340,292.000000,1.700000,381.315582,19.405478,1.393198,57.542511,31.776299,0.000000,1.971488,161.600006,0.024069,42.066784209041,-84.237756882597,292.24
13.320,0.753,-7.691850,-54.078297,2.514351,1.986074,-1.371863,5.200000,130.515549,13.274671,6575.399902,0.200000,2.854000,18.360001,856.000000,784.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.002600,0.042000,161.399994,161.000000,158.600006,163.000000,13.141999,83.335999,186.979996,68.000000,68.000000,31.242544,10.000000,-0.106688,0.007393,0.342834,-167.328461,-4.321570,292.000000,1.700000,381.671600,19.401619,1.393198,56.597511,31.805969,0.000000,1.563828,161.199997,0.024247,42.066783077139,-84.237757637658,292.24
13.330,0.753,-4.640110,-50.416210,2.750667,1.775858,-1.094173,5.300000,130.515549,13.274615,6472.600098,0.300000,2.856000,18.740000,856.000000,787.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.977400,0.042000,161.100006,160.500000,158.899994,163.000000,13.143000,83.353996,186.979996,68.000000,68.000000,31.236330,10.000000,-0.128165,0.003442,0.342261,-167.300964,-5.210801,292.000000,1.700000,382.027649,19.397760,1.393198,55.652508,31.835638,0.000000,1.156167,160.800003,0.024426,42.066781941676,-84.237758380206,292.25
13.340,0.754,-1.588370,-47.364468,2.922351,1.598214,-1.044613,5.400000,130.515549,13.274561,6369.799805,0.400000,2.858000,19.120001,856.000000,790.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.952200,0.042000,160.800003,160.000000,159.199997,163.000000,13.144000,83.372002,186.979996,68.000000,68.000000,31.230116,10.000000,-0.149643,-0.000510,0.341689,-167.273468,-6.100031,292.000000,1.700000,382.383667,19.393902,1.393198,54.707508,31.865307,0.000000,0.748507,160.399994,0.024604,42.066780806212,-84.237759122754,292.25
13.350,0.754,-0.978022,-45.533424,3.087077,1.643305,-1.212675,5.500000,130.515549,13.274506,6267.000000,0.500000,2.860000,19.500000,856.000000,794.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.927000,0.042000,160.500000,159.500000,159.500000,163.000000,13.145000,83.389999,186.979996,68.000000,68.000000,31.223904,10.000000,-0.171121,-0.004461,0.341116,-167.245972,-6.989262,292.000000,1.700000,382.739716,19.390043,1.393198,53.762508,31.894978,0.000000,0.340846,160.000000,0.024782,42.066779670748,-84.237759865302,292.25
13.360,0.755,0.242674,-42.481686,3.348803,1.759487,-1.525684,5.600000,130.515549,13.274450,6244.399902,0.680000,2.868000,20.340000,856.000000,797.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.901800,0.042000,160.199997,159.000000,159.800003,163.000000,13.146000,83.407997,186.979996,68.000000,68.000000,31.217690,10.000000,-0.192599,-0.008413,0.340543,-167.218460,-7.878492,292.000000,1.700000,383.095764,19.386185,1.393198,52.817509,31.924646,0.000000,-0.066814,159.600006,0.024961,42.066778535284,-84.237760607850,292.25
13.370,0.755,2.684066,-40.040291,3.575498,1.702442,-1.850387,5.700000,130.515549,13.274396,6221.799805,0.860000,2.876000,21.180000,856.000000,801.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.876600,0.042000,159.899994,158.500000,160.100006,163.000000,13.146999,83.426003,186.979996,68.000000,68.000000,31.211475,10.000000,-0.214077,-0.012364,0.339970,-167.190964,-8.767723,292.000000,1.700000,383.451782,19.382326,1.393198,51.872509,31.954315,0.000000,-0.474475,159.199997,0.025139,42.066777399820,-84.237761350398,292.25
13.380,0.756,-0.978022,-35.157509,3.639614,1.550974,-2.113540,5.800000,130.515549,13.274341,6199.200195,1.040000,2.884000,22.020000,856.000000,804.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.851400,0.042000,159.600006,158.000000,160.399994,163.000000,13.148000,83.444000,186.979996,68.000000,68.000000,31.205261,10.000000,-0.235554,-0.016315,0.339397,-167.163467,-9.656954,292.000000,1.700000,383.807831,19.378468,1.393198,50.927505,31.983984,0.000000,-0.882135,158.800003,0.025318,42.066776264356,-84.237762092946,292.25
13.390,0.756,-1.588370,-40.650642,3.527174,1.515130,-2.432006,5.900000,130.515549,13.274286,6176.600098,1.220000,2.892000,22.860001,856.000000,808.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.826200,0.042000,159.300003,157.500000,160.699997,163.000000,13.148999,83.461998,186.979996,68.000000,68.000000,31.199049,10.000000,-0.257032,-0.020267,0.338824,-167.135956,-10.546184,292.000000,1.700000,384.163849,19.374609,1.393198,49.982506,32.013653,0.000000,-1.289796,158.399994,0.025496,42.066775128892,-84.237762835494,292.25
13.400,0.757,-4.640110,-47.364468,3.273960,1.576042,-2.926841,6.000000,130.515549,13.274231,6154.000000,1.400000,2.900000,23.700001,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.801000,0.042000,159.000000,157.000000,161.000000,163.000000,13.150000,83.479996,186.979996,68.000000,68.000000,31.192835,10.000000,-0.278510,-0.024218,0.338251,-167.108459,-11.435414,292.000000,1.700000,384.519897,19.370750,1.393198,49.037506,32.043324,0.000000,-1.697456,158.000000,0.025674,42.066773993429,-84.237763578042,292.25
13.410,0.757,-8.302197,-49.805862,3.066855,1.619143,-3.419845,6.000000,130.515549,13.274176,6163.200195,2.100000,2.936000,27.500000,856.000000,816.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.806100,0.042000,158.600006,156.800003,160.300003,162.699997,13.151000,83.498001,186.979996,68.000000,68.000000,31.186621,10.000000,-0.297502,-0.026704,0.337678,-167.078659,-12.216928,292.000000,1.701000,383.333099,19.366892,1.393198,49.228756,31.944424,0.000000,-1.714891,157.699997,0.025490,42.066772857965,-84.237764320590,292.25
13.420,0.758,-8.302197,-48.585163,3.056396,1.627263,-3.509922,6.000000,130.515549,13.274121,6172.399902,2.800000,2.972000,31.300001,856.000000,820.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.811200,0.042000,158.199997,156.600006,159.600006,162.399994,13.151999,83.515999,186.979996,68.000000,68.000000,31.180408,10.000000,-0.316494,-0.029189,0.337105,-167.048874,-12.998444,292.000000,1.702000,382.146332,19.363033,1.393198,49.420006,31.845526,0.000000,-1.732326,157.399994,0.025306,42.066771722501,-84.237765063138,292.26
13.430,0.758,-10.133242,-50.416210,3.062551,1.636563,-3.082517,6.000000,130.515549,13.274066,6181.600098,3.500000,3.008000,35.100002,856.000000,824.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.816300,0.042000,157.800003,156.399994,158.899994,162.100006,13.153000,83.533997,186.979996,68.000000,68.000000,31.174194,10.000000,-0.335487,-0.031675,0.336532,-167.019073,-13.779958,292.000000,1.703000,380.959534,19.359175,1.393198,49.611256,31.746626,0.000000,-1.749761,157.100006,0.025121,42.066770587037,-84.237765805686,292.26
13.440,0.758,-7.691850,-49.195511,2.877366,1.689062,-2.486243,6.000000,130.515549,13.274012,6190.799805,4.200000,3.044000,38.900002,856.000000,828.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.821400,0.042000,157.399994,156.199997,158.199997,161.800003,13.153999,83.552002,186.979996,68.000000,68.000000,31.167980,10.000000,-0.354479,-0.034160,0.335959,-166.989288,-14.561472,292.000000,1.704000,379.772736,19.355316,1.393198,49.802505,31.647728,0.000000,-1.767196,156.800003,0.024937,42.066769451573,-84.237766548234,292.26
13.450,0.759,-4.029761,-46.143772,2.620198,1.749729,-1.962039,6.000000,130.515549,13.273956,6200.000000,4.900000,3.080000,42.700001,856.000000,832.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.826500,0.042000,157.000000,156.000000,157.500000,161.500000,13.155000,83.570000,186.979996,68.000000,68.000000,31.161766,10.000000,-0.373471,-0.036646,0.335386,-166.959488,-15.342987,292.000000,1.705000,378.585938,19.351458,1.393198,49.993755,31.548828,0.000000,-1.784631,156.500000,0.024753,42.066768304197,-84.237767239803,292.26
13.460,0.759,-5.860806,-48.585163,2.547719,1.709199,-1.456309,6.000000,130.515549,13.273901,6260.799805,5.140000,3.092000,43.240002,856.000000,830.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.831600,0.042000,156.600006,155.800003,156.800003,161.199997,13.155999,83.587997,186.979996,68.000000,68.000000,31.155554,10.000000,-0.392463,-0.039131,0.334813,-166.929688,-16.124500,292.000000,1.706000,377.399170,19.347599,1.393198,50.185005,31.449928,0.000000,-1.802066,156.199997,0.024569,42.066767155498,-84.237767925706,292.26
13.470,0.760,-2.198718,-47.974815,2.740416,1.592183,-1.197522,6.000000,130.515549,13.273847,6321.600098,5.380000,3.104000,43.780003,856.000000,829.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.836700,0.042000,156.199997,155.600006,156.100006,160.899994,13.157000,83.606003,186.979996,68.000000,68.000000,31.149340,10.000000,-0.411455,-0.041617,0.334240,-166.899902,-16.906015,292.000000,1.707000,376.212372,19.343740,1.393198,50.376255,31.351030,0.000000,-1.819501,155.899994,0.024384,42.066766006798,-84.237768611610,292.26
13.480,0.760,-0.978022,-47.974815,2.990509,1.543287,-1.498901,6.000000,130.515549,13.273791,6382.399902,5.620000,3.116000,44.320000,856.000000,828.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.841800,0.042000,155.800003,155.399994,155.399994,160.600006,13.158000,83.624001,186.979996,68.000000,68.000000,31.143126,10.000000,-0.430448,-0.044103,0.333667,-166.870102,-17.687531,292.000000,1.708000,375.025574,19.339882,1.393198,50.567505,31.252131,0.000000,-1.836936,155.600006,0.024200,42.066764858098,-84.237769297514,292.26
